City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nazca,-14.8333,-74.95,29.36,29,100,5.07,PE,1670352331
1,castro,-24.7911,-50.0119,23.61,81,41,2.88,BR,1670352331
2,chuy,-33.6971,-53.4616,26.46,48,0,4.89,UY,1670352331
3,ahipara,-35.1667,173.1667,15.82,92,100,6.79,NZ,1670352332
4,phulji,26.8825,67.6807,19.87,28,3,1.43,PK,1670352332
5,bredasdorp,-34.5322,20.0403,16.74,64,45,1.35,ZA,1670352332
6,mar del plata,-38.0023,-57.5575,30.01,62,0,6.69,AR,1670352333
7,jaynagar-majilpur,22.1758,88.4178,18.3,41,95,3.26,IN,1670352333
8,tasiilaq,65.6145,-37.6368,-2.91,65,19,4.59,GL,1670352334
9,souillac,-20.5167,57.5167,25.21,83,75,5.14,MU,1670352335
10,new norfolk,-42.7826,147.0587,7.72,78,100,1.09,AU,1670352336
11,tuktoyaktuk,69.4541,-133.0374,-27.0,69,40,7.72,CA,1670352336
12,hobart,-42.8794,147.3294,7.92,85,89,5.66,AU,1670352336
13,stavyshche,50.4,29.5333,-6.16,84,35,5.55,UA,1670352337
14,malyye derbety,47.9547,44.6808,-8.71,69,9,4.34,RU,1670352337
15,mosquera,4.7059,-74.2302,16.05,72,75,5.14,CO,1670352337
16,dingle,10.9995,122.6711,23.35,92,59,3.25,PH,1670352338
17,waitara,-38.925,174.25,16.79,73,100,4.84,NZ,1670352338
18,tazmalt,36.3868,4.3989,13.73,72,7,1.45,DZ,1670352339
19,moerai,-22.4333,-151.3333,25.3,80,82,8.39,PF,1670352339
20,cabedelo,-6.9811,-34.8339,30.37,68,6,5.24,BR,1670352339
21,khatanga,71.9667,102.5,-18.61,94,100,6.72,RU,1670352340
22,kawalu,-7.3817,108.2082,22.36,97,100,0.38,ID,1670352340
23,vaini,-21.2,-175.2,25.09,94,75,2.06,TO,1670352341
24,carnarvon,-24.8667,113.6333,20.79,79,41,6.33,AU,1670352341
25,talnakh,69.4865,88.3972,-3.77,96,100,6.35,RU,1670352341
26,shimoda,34.6667,138.95,7.28,69,4,10.52,JP,1670352342
27,coahuayana,18.7333,-103.6833,31.36,53,0,2.67,MX,1670352342
28,richards bay,-28.783,32.0377,20.35,84,100,1.89,ZA,1670352343
29,zhangye,38.9342,100.4517,-7.97,78,7,1.09,CN,1670352343
30,pangody,65.85,74.4859,-16.37,97,100,4.5,RU,1670352343
31,yulara,-25.2406,130.9889,27.09,35,51,4.4,AU,1670352344
32,nikolskoye,59.7035,30.7861,-6.06,93,100,3.88,RU,1670352344
33,beloha,-25.1667,45.05,26.84,64,30,1.1,MG,1670352344
34,general roca,-39.0333,-67.5833,32.01,33,6,6.33,AR,1670352345
